policy_id,sponsor_age,sponsor_sex,sponsor_relationship,student_age,student_sex,income_band,scholarship_flag,tuition_per_sem,expected_years,risk_score,risk_tier,premium_per_sem,maturity_benefit
50,30,F,other,25,F,low,1,2483337.0,4,2.0,STANDARD,180000.0,500000
51,66,M,grandparent,21,F,high,1,2122998.0,3,2.0,STANDARD,180000.0,500000
52,51,M,parent,20,M,low,1,2263784.0,5,3.0,SUBSTANDARD,251999.99999999997,500000
53,50,F,other,24,M,medium,1,2307405.0,3,1.0,PREFERRED,135000.0,500000
54,50,M,parent,19,F,high,1,1284528.0,3,0.0,PREFERRED,135000.0,500000
55,61,M,parent,21,F,low,0,2773600.0,3,4.0,SUBSTANDARD,260207.99999999997,500000
56,41,M,parent,18,M,low,0,3175604.0,5,3.5,SUBSTANDARD,272268.12,500000
57,54,M,parent,24,M,high,1,3011207.0,4,0.0,PREFERRED,150336.21,500000
58,47,M,parent,23,M,medium,0,1479915.0,4,1.5,STANDARD,180000.0,500000
59,65,M,grandparent,23,F,low,0,1748074.0,4,7.0,HIGH_RISK,324000.0,500000
60,30,M,parent,24,M,low,0,1657140.0,3,1.5,STANDARD,180000.0,500000
61,47,M,grandparent,18,M,low,0,2655501.0,4,4.5,SUBSTANDARD,256665.02999999997,500000
62,56,M,parent,22,M,medium,0,1474893.0,3,2.0,STANDARD,180000.0,500000
63,69,M,grandparent,22,F,high,1,3235069.0,5,3.5,SUBSTANDARD,274052.06999999995,500000
64,49,M,other_relative,25,F,low,0,1221002.0,3,3.5,SUBSTANDARD,251999.99999999997,500000
65,42,M,parent,20,M,low,0,1577739.0,4,2.5,STANDARD,180000.0,0
66,69,M,grandparent,25,M,low,0,3353456.0,5,8.0,HIGH_RISK,349603.68,500000
67,63,M,grandparent,20,F,medium,0,2331490.0,5,4.5,SUBSTANDARD,251999.99999999997,500000
68,56,M,parent,25,M,low,1,2267938.0,5,4.0,SUBSTANDARD,251999.99999999997,500000
69,46,F,grandparent,20,F,medium,1,1662862.0,5,2.0,STANDARD,180000.0,500000
70,54,M,grandparent,19,F,medium,0,2595693.0,3,2.0,STANDARD,182870.79,500000
71,69,F,grandparent,21,F,low,1,3185578.0,3,5.0,HIGH_RISK,344567.34,500000
72,36,M,parent,19,M,low,0,2920346.0,5,3.5,SUBSTANDARD,264610.37999999995,0
73,44,F,parent,20,M,low,1,3267641.0,4,1.0,PREFERRED,158029.23,500000
74,52,F,other_relative,18,M,medium,0,2702554.0,4,2.0,STANDARD,186076.62,0
75,48,M,other,21,F,high,1,2067592.0,5,1.5,STANDARD,180000.0,0
76,58,F,parent,19,M,low,0,1237076.0,4,4.5,SUBSTANDARD,251999.99999999997,500000
77,38,M,parent,23,F,high,0,3475874.0,3,0.0,PREFERRED,164276.22,0
78,53,M,parent,23,F,low,0,2455829.0,3,3.0,SUBSTANDARD,251999.99999999997,500000
79,33,F,parent,24,M,low,1,3419604.0,4,0.5,PREFERRED,162588.12,500000
80,38,M,grandparent,22,M,medium,0,2279524.0,5,2.5,STANDARD,180000.0,500000
81,36,F,parent,25,M,medium,0,2590885.0,4,0.5,PREFERRED,137726.55,500000
82,68,M,other_relative,23,M,high,1,2916956.0,4,2.0,STANDARD,192508.68,0
83,60,M,other,22,F,low,0,1906633.0,3,5.5,HIGH_RISK,324000.0,0
84,70,F,grandparent,21,F,medium,1,2816124.0,4,3.5,SUBSTANDARD,261483.71999999997,500000
85,51,M,parent,24,M,medium,1,2417437.0,4,0.0,PREFERRED,135000.0,500000
86,51,F,parent,24,F,medium,1,1218153.0,3,0.0,PREFERRED,135000.0,500000
87,63,M,parent,24,M,medium,1,3436711.0,4,1.0,PREFERRED,163101.33,500000
88,54,F,parent,23,M,low,0,3464360.0,4,3.5,SUBSTANDARD,280930.8,0
89,57,M,parent,23,M,medium,0,1594939.0,5,3.5,SUBSTANDARD,251999.99999999997,500000
90,50,M,parent,25,F,high,1,3341025.0,5,0.0,PREFERRED,160230.75,500000
91,37,M,parent,20,M,low,1,2708658.0,4,1.0,PREFERRED,141259.74,500000
92,60,M,parent,21,M,high,0,2700410.0,4,1.5,STANDARD,186012.3,500000
93,51,F,parent,24,M,low,1,2718540.0,4,2.0,STANDARD,186556.2,500000
94,68,F,grandparent,22,F,medium,1,2455406.0,4,3.5,SUBSTANDARD,251999.99999999997,500000
95,40,M,parent,20,M,high,0,1436906.0,5,0.5,PREFERRED,135000.0,500000
96,66,M,parent,20,M,low,0,2910743.0,3,5.5,HIGH_RISK,336322.29,500000
97,61,M,other_relative,21,F,low,1,1547073.0,5,4.5,SUBSTANDARD,251999.99999999997,0
98,31,F,parent,20,F,low,0,1909047.0,4,2.0,STANDARD,180000.0,0
99,57,M,parent,18,F,low,1,1672273.0,4,3.0,SUBSTANDARD,251999.99999999997,500000
100,66,M,grandparent,18,M,high,0,1215827.0,4,4.0,SUBSTANDARD,251999.99999999997,500000
101,30,M,parent,18,M,medium,0,3390077.0,3,0.0,PREFERRED,161702.31,500000
102,34,M,parent,23,M,high,0,1903616.0,3,0.0,PREFERRED,135000.0,500000
103,67,F,parent,19,M,low,0,1582533.0,4,6.0,HIGH_RISK,324000.0,0
104,43,M,other_relative,22,F,medium,1,1211343.0,3,0.0,PREFERRED,135000.0,500000
105,47,M,other,18,M,low,1,1477983.0,3,3.0,SUBSTANDARD,251999.99999999997,500000
106,69,M,parent,20,M,medium,0,1392569.0,4,4.0,SUBSTANDARD,251999.99999999997,500000
107,52,M,parent,19,M,low,0,2083463.0,4,3.5,SUBSTANDARD,251999.99999999997,500000
108,46,M,grandparent,23,F,medium,0,3207419.0,4,2.5,STANDARD,201222.57,0
109,48,M,parent,20,M,low,0,2548271.0,4,3.5,SUBSTANDARD,253448.12999999998,500000
110,48,M,other_relative,23,F,low,0,1511934.0,4,4.0,SUBSTANDARD,251999.99999999997,500000
111,61,M,grandparent,22,M,high,1,2161515.0,4,1.0,PREFERRED,135000.0,500000
112,62,M,grandparent,20,M,high,1,2144662.0,5,2.0,STANDARD,180000.0,500000
113,68,F,parent,25,F,high,0,2004061.0,3,2.5,STANDARD,180000.0,500000
114,52,F,parent,19,M,medium,0,2890066.0,3,1.0,PREFERRED,146701.98,500000
115,51,M,parent,22,M,medium,0,3437400.0,3,1.0,PREFERRED,163122.0,500000
116,44,F,parent,19,M,medium,0,2755228.0,5,1.5,STANDARD,187656.84,500000
117,36,M,parent,22,M,medium,1,2553825.0,4,0.0,PREFERRED,136614.75,0
118,45,F,parent,18,F,medium,1,2849600.0,4,0.0,PREFERRED,145488.0,500000
119,62,F,grandparent,22,M,high,1,2325401.0,5,2.0,STANDARD,180000.0,500000
120,51,M,parent,25,M,medium,1,1510228.0,4,0.0,PREFERRED,135000.0,500000
121,38,M,parent,24,F,medium,1,2348837.0,4,0.0,PREFERRED,135000.0,500000
122,40,M,parent,21,F,medium,1,1354859.0,4,0.0,PREFERRED,135000.0,500000
123,59,M,parent,23,F,medium,0,2675068.0,3,2.0,STANDARD,185252.04,0
124,55,M,parent,21,M,medium,1,3141210.0,4,1.0,PREFERRED,154236.3,500000
125,47,M,parent,23,F,high,0,3290469.0,4,0.5,PREFERRED,158714.07,500000
126,57,M,parent,25,F,medium,1,3451066.0,3,0.5,PREFERRED,163531.98,500000
127,60,F,parent,24,M,high,0,3254160.0,5,2.5,STANDARD,202624.8,500000
128,33,M,parent,22,M,medium,1,2722408.0,4,0.0,PREFERRED,141672.24,500000
129,42,M,parent,18,M,low,1,2774210.0,3,0.5,PREFERRED,143226.3,500000
130,46,M,other,18,M,low,0,1831379.0,4,5.0,HIGH_RISK,324000.0,500000
131,47,F,other_relative,20,M,high,0,1729503.0,3,0.5,PREFERRED,135000.0,500000
132,46,F,grandparent,24,M,low,0,1640678.0,3,4.0,SUBSTANDARD,251999.99999999997,500000
133,60,F,parent,20,M,low,1,3375715.0,4,3.0,SUBSTANDARD,278271.44999999995,500000
134,55,M,parent,20,M,medium,1,1891042.0,4,1.0,PREFERRED,135000.0,500000
135,55,F,parent,23,F,medium,1,1886271.0,3,0.5,PREFERRED,135000.0,500000
136,43,M,parent,21,M,medium,1,1377702.0,5,0.0,PREFERRED,135000.0,500000
137,66,F,grandparent,23,F,high,0,1297355.0,3,3.5,SUBSTANDARD,251999.99999999997,500000
138,36,F,parent,21,M,low,1,2554917.0,4,1.0,PREFERRED,136647.51,0
139,42,F,parent,22,F,low,1,2679155.0,4,1.0,PREFERRED,140374.65,500000
140,42,F,parent,24,M,medium,0,1293382.0,4,0.5,PREFERRED,135000.0,500000
141,51,M,other_relative,21,F,medium,0,2843377.0,5,3.0,SUBSTANDARD,262301.31,500000
142,64,M,grandparent,23,M,low,0,3133602.0,5,6.5,HIGH_RISK,343008.06,500000
143,63,F,grandparent,22,F,medium,1,1994979.0,4,2.0,STANDARD,180000.0,500000
144,59,F,grandparent,19,M,medium,1,2937628.0,4,2.0,STANDARD,193128.84,500000
145,40,M,grandparent,24,M,low,1,3474102.0,3,1.5,STANDARD,209223.06,500000
146,48,M,parent,18,F,low,1,3068165.0,3,1.5,STANDARD,197044.95,500000
147,60,F,parent,19,M,medium,0,1371040.0,5,3.5,SUBSTANDARD,251999.99999999997,500000
148,36,M,other_relative,25,M,medium,0,3029132.0,4,1.0,PREFERRED,150873.96,500000
149,43,M,parent,22,M,high,1,2299681.0,4,0.0,PREFERRED,135000.0,500000
150,59,F,parent,23,F,high,0,2593780.0,4,1.5,STANDARD,182813.4,500000
151,48,F,parent,21,M,medium,1,2642034.0,4,0.0,PREFERRED,139261.02,500000
152,39,F,parent,22,M,medium,0,3189949.0,4,0.5,PREFERRED,155698.47,500000
153,59,M,parent,20,M,low,0,1552853.0,3,4.0,SUBSTANDARD,251999.99999999997,500000
154,54,M,parent,18,M,low,0,2606681.0,4,3.5,SUBSTANDARD,255200.42999999996,500000
155,66,M,other_relative,21,F,medium,1,1931354.0,4,3.0,SUBSTANDARD,251999.99999999997,500000
156,33,M,parent,22,M,high,1,2674398.0,4,0.0,PREFERRED,140231.94,500000
157,46,M,other_relative,18,M,medium,1,1871377.0,4,0.5,PREFERRED,135000.0,500000
158,66,M,grandparent,18,M,medium,0,3115665.0,4,5.0,HIGH_RISK,342469.95,500000
159,32,M,parent,22,M,low,1,3230043.0,4,0.5,PREFERRED,156901.29,500000
160,40,F,other,18,F,medium,1,2738208.0,3,0.0,PREFERRED,142146.24,500000
161,50,F,parent,22,F,high,1,2224874.0,4,0.0,PREFERRED,135000.0,500000
162,62,F,parent,25,M,low,0,1228148.0,4,4.5,SUBSTANDARD,251999.99999999997,500000
163,50,F,parent,21,M,low,1,3085743.0,5,3.0,SUBSTANDARD,269572.29,500000
164,61,F,grandparent,24,M,medium,0,1224974.0,5,4.5,SUBSTANDARD,251999.99999999997,500000
165,50,M,parent,22,M,low,0,1609441.0,4,3.5,SUBSTANDARD,251999.99999999997,0
166,48,M,other,18,M,medium,0,1283347.0,4,3.0,SUBSTANDARD,251999.99999999997,500000
167,55,F,other_relative,21,F,high,1,1237628.0,4,0.5,PREFERRED,135000.0,500000
168,62,F,grandparent,23,M,high,1,2604307.0,4,1.0,PREFERRED,138129.21,500000
169,40,F,grandparent,25,F,high,1,1331962.0,3,0.0,PREFERRED,135000.0,500000
170,58,F,other_relative,19,M,high,1,1359629.0,5,1.5,STANDARD,180000.0,500000
171,30,F,parent,19,M,medium,0,2025090.0,4,0.0,PREFERRED,135000.0,500000
172,54,M,parent,18,F,medium,1,2118236.0,4,0.0,PREFERRED,135000.0,500000
173,44,F,parent,23,M,low,1,2879465.0,4,1.0,PREFERRED,146383.95,500000
174,63,F,grandparent,20,M,high,1,2648414.0,4,1.0,PREFERRED,139452.42,500000
175,44,M,grandparent,22,M,high,0,1447694.0,3,0.0,PREFERRED,135000.0,500000
176,60,M,parent,18,F,high,1,2359825.0,3,0.0,PREFERRED,135000.0,500000
177,47,M,grandparent,20,M,low,0,1528839.0,5,5.5,HIGH_RISK,324000.0,500000
178,42,F,parent,19,F,medium,1,2967620.0,5,0.0,PREFERRED,149028.6,500000
179,63,M,parent,24,M,low,1,2822034.0,3,2.5,STANDARD,189661.02,500000
180,64,M,parent,24,M,medium,0,1862741.0,5,3.5,SUBSTANDARD,251999.99999999997,500000
181,69,M,parent,25,M,medium,1,3343378.0,5,3.5,SUBSTANDARD,277301.33999999997,500000
182,44,M,parent,23,M,high,1,1836614.0,4,0.0,PREFERRED,135000.0,500000
183,35,M,parent,21,M,high,1,2389709.0,3,0.0,PREFERRED,135000.0,500000
184,53,F,parent,20,F,low,1,3146156.0,4,2.0,STANDARD,199384.68,0
185,68,M,grandparent,22,F,low,0,1540306.0,3,6.5,HIGH_RISK,324000.0,500000
186,47,M,parent,23,F,low,1,1841700.0,4,2.0,STANDARD,180000.0,500000
187,50,F,parent,22,M,low,1,2551251.0,4,2.0,STANDARD,181537.53,500000
188,61,M,grandparent,23,M,low,0,2197678.0,4,5.5,HIGH_RISK,324000.0,500000
189,55,M,parent,24,F,low,0,1682677.0,4,4.5,SUBSTANDARD,251999.99999999997,500000
190,50,M,parent,25,M,medium,1,1279168.0,4,0.0,PREFERRED,135000.0,0
191,66,F,parent,20,M,medium,1,1798982.0,4,2.5,STANDARD,180000.0,500000
192,41,M,parent,25,F,low,1,3247499.0,3,0.5,PREFERRED,157424.97,500000
193,55,F,parent,21,F,low,0,3006134.0,5,5.5,HIGH_RISK,339184.02,0
194,51,F,parent,20,F,low,1,3100557.0,4,2.0,STANDARD,198016.71,500000
195,36,M,parent,22,M,medium,0,3495906.0,4,0.5,PREFERRED,164877.18,500000
196,64,M,grandparent,19,M,low,0,2099799.0,3,5.0,HIGH_RISK,324000.0,0
197,57,M,parent,24,M,medium,1,3092544.0,4,1.0,PREFERRED,152776.32,500000
198,54,M,other_relative,24,F,low,0,3076078.0,5,5.0,HIGH_RISK,341282.34,500000
199,45,F,parent,25,M,high,1,2408726.0,4,0.0,PREFERRED,135000.0,500000
200,41,M,parent,24,F,medium,0,1303451.0,4,0.5,PREFERRED,135000.0,500000
201,40,F,parent,23,F,medium,0,1961285.0,4,0.5,PREFERRED,135000.0,500000
202,43,M,other_relative,20,F,medium,0,1811368.0,3,0.5,PREFERRED,135000.0,500000
203,51,M,other_relative,20,M,medium,0,1598514.0,5,3.0,SUBSTANDARD,251999.99999999997,500000
204,42,M,other,21,F,medium,1,3310457.0,3,0.0,PREFERRED,159313.71,500000
205,59,F,other_relative,24,M,high,1,2283122.0,4,0.5,PREFERRED,135000.0,500000
206,69,M,parent,19,M,low,0,3028984.0,4,6.0,HIGH_RISK,339869.52,0
207,47,M,parent,20,F,medium,0,3178329.0,4,1.5,STANDARD,200349.87,0
208,62,M,other,25,M,low,0,3027157.0,5,7.0,HIGH_RISK,339814.71,500000
209,44,F,grandparent,24,M,medium,0,2496001.0,5,2.5,STANDARD,180000.0,500000
210,66,F,grandparent,22,M,low,1,2861363.0,4,5.5,HIGH_RISK,334840.89,500000
211,41,M,parent,21,F,medium,1,2395239.0,4,0.0,PREFERRED,135000.0,500000
212,43,M,other_relative,20,M,low,1,1937885.0,3,1.0,PREFERRED,135000.0,500000
213,68,M,other_relative,23,M,medium,1,2149830.0,4,3.0,SUBSTANDARD,251999.99999999997,500000
214,63,M,other_relative,22,F,medium,1,2482240.0,3,1.0,PREFERRED,135000.0,500000
215,48,M,parent,20,F,medium,0,1889961.0,4,1.5,STANDARD,180000.0,500000
216,57,M,parent,23,M,medium,0,2239610.0,4,2.5,STANDARD,180000.0,500000
217,49,M,parent,22,F,low,1,2183364.0,4,2.0,STANDARD,180000.0,500000
218,44,F,other,20,M,medium,0,1273907.0,4,2.0,STANDARD,180000.0,0
219,67,F,other_relative,24,M,low,0,2897446.0,5,7.5,HIGH_RISK,335923.38,0
220,36,M,parent,20,F,low,1,2104353.0,3,0.5,PREFERRED,135000.0,0
221,36,M,parent,25,M,low,0,3048624.0,3,2.0,STANDARD,196458.72,500000
222,64,M,parent,22,M,medium,0,2095599.0,4,2.5,STANDARD,180000.0,500000
223,61,F,other_relative,24,M,low,0,2561574.0,4,5.0,HIGH_RISK,325847.22,500000
224,63,M,parent,22,F,low,0,2807117.0,5,5.5,HIGH_RISK,333213.51,0
225,55,F,parent,24,F,medium,0,3481843.0,3,2.0,STANDARD,209455.29,500000
226,56,F,parent,24,M,medium,0,2965321.0,4,2.5,STANDARD,193959.63,500000
227,56,F,parent,18,F,low,0,2795762.0,5,5.5,HIGH_RISK,332872.86,500000
228,35,F,other,20,M,low,1,2957776.0,5,3.5,SUBSTANDARD,265733.27999999997,500000
229,64,M,grandparent,25,F,low,1,2243157.0,3,3.5,SUBSTANDARD,251999.99999999997,500000
230,38,M,parent,25,F,medium,1,3438262.0,3,0.0,PREFERRED,163147.86,500000
231,63,M,other_relative,19,F,low,0,1360971.0,4,5.0,HIGH_RISK,324000.0,0
232,35,M,parent,19,M,high,1,2262180.0,5,0.0,PREFERRED,135000.0,500000
233,67,F,other_relative,24,F,low,1,1836979.0,4,5.0,HIGH_RISK,324000.0,0
234,50,M,parent,18,M,low,1,2351406.0,3,1.5,STANDARD,180000.0,0
235,43,F,parent,18,M,high,1,2703281.0,5,0.0,PREFERRED,141098.43,500000
236,35,F,parent,25,M,medium,0,1857032.0,4,0.5,PREFERRED,135000.0,500000
237,44,M,other_relative,21,F,medium,0,2281794.0,4,1.0,PREFERRED,135000.0,500000
238,44,M,other_relative,25,M,medium,0,2634090.0,3,0.5,PREFERRED,139022.7,500000
239,43,F,grandparent,25,M,low,0,2948525.0,3,3.0,SUBSTANDARD,265455.75,500000
240,51,F,parent,20,M,medium,1,1618364.0,4,0.0,PREFERRED,135000.0,500000
241,37,F,parent,20,F,medium,0,2770063.0,4,0.5,PREFERRED,143101.89,500000
242,55,F,other_relative,19,F,low,1,2759814.0,3,3.0,SUBSTANDARD,259794.41999999998,500000
243,39,F,parent,21,F,low,1,1366524.0,3,0.5,PREFERRED,135000.0,500000
244,54,F,parent,20,M,high,1,1861867.0,3,0.0,PREFERRED,135000.0,500000
245,43,F,parent,24,F,medium,0,1630644.0,3,0.0,PREFERRED,135000.0,500000
246,53,M,parent,25,M,medium,1,2611539.0,5,1.0,PREFERRED,138346.17,500000
247,61,M,grandparent,19,M,medium,1,1695713.0,3,1.5,STANDARD,180000.0,500000
248,63,F,grandparent,19,M,medium,0,1765824.0,4,3.5,SUBSTANDARD,251999.99999999997,500000
249,57,M,parent,21,M,medium,1,2597001.0,5,2.0,STANDARD,182910.03,0
250,55,F,other_relative,25,M,high,1,1577151.0,5,1.5,STANDARD,180000.0,500000
251,43,M,parent,18,F,low,1,3374568.0,5,2.0,STANDARD,206237.04,500000
252,53,M,parent,19,M,low,0,1412852.0,5,4.5,SUBSTANDARD,251999.99999999997,500000
253,65,M,grandparent,24,F,low,1,2088415.0,4,5.5,HIGH_RISK,324000.0,500000
254,58,F,other,21,M,low,0,1908854.0,3,5.5,HIGH_RISK,324000.0,0
255,65,M,grandparent,20,F,high,0,2856305.0,5,5.0,HIGH_RISK,334689.15,500000
256,48,M,other_relative,21,M,low,1,1492825.0,4,2.5,STANDARD,180000.0,500000
257,68,M,parent,23,F,high,1,2338952.0,3,1.0,PREFERRED,135000.0,0
258,66,F,grandparent,25,M,medium,0,2600638.0,4,5.0,HIGH_RISK,327019.14,500000
259,45,F,other_relative,25,F,low,0,1863747.0,4,4.0,SUBSTANDARD,251999.99999999997,0
260,32,M,other_relative,18,F,medium,1,3416059.0,3,0.0,PREFERRED,162481.77,500000
261,55,M,parent,20,F,medium,0,1894260.0,3,2.0,STANDARD,180000.0,0
262,48,F,other,25,F,low,1,3419343.0,3,3.0,SUBSTANDARD,279580.29,500000
263,59,M,parent,24,M,medium,1,3464144.0,4,1.0,PREFERRED,163924.32,500000
264,58,M,other_relative,24,M,low,1,3462958.0,3,3.0,SUBSTANDARD,280888.74,500000
265,35,F,other,23,M,low,0,2635853.0,3,3.5,SUBSTANDARD,256075.58999999997,500000
266,69,M,other_relative,25,F,low,1,2060508.0,5,6.0,HIGH_RISK,324000.0,0
267,55,F,other_relative,21,F,medium,1,2318031.0,3,1.0,PREFERRED,135000.0,500000
268,50,M,parent,24,M,medium,0,3111344.0,5,2.5,STANDARD,198340.32,500000
269,35,M,parent,22,M,high,1,2394728.0,3,0.0,PREFERRED,135000.0,500000
270,68,F,other,23,F,low,0,1397499.0,4,7.5,HIGH_RISK,324000.0,500000
271,43,M,parent,21,M,medium,1,1441689.0,4,0.0,PREFERRED,135000.0,500000
272,54,F,other_relative,24,M,high,1,2478168.0,4,0.0,PREFERRED,135000.0,500000
273,37,M,other_relative,19,F,medium,1,2758544.0,3,0.0,PREFERRED,142756.32,500000
274,51,F,other_relative,20,M,low,1,3182951.0,4,2.5,STANDARD,200488.53,500000
275,63,M,parent,20,F,medium,1,3016568.0,4,1.0,PREFERRED,150497.04,500000
276,44,M,parent,21,F,medium,1,3450747.0,4,0.0,PREFERRED,163522.41,500000
277,44,M,parent,25,F,high,0,2453767.0,5,0.5,PREFERRED,135000.0,500000
278,41,M,parent,21,F,high,0,3407315.0,5,0.5,PREFERRED,162219.45,500000
279,46,M,other_relative,20,F,medium,0,2312396.0,3,1.5,STANDARD,180000.0,500000
280,56,M,parent,21,F,medium,0,2201227.0,4,2.5,STANDARD,180000.0,500000
281,58,M,parent,19,M,low,0,1682297.0,4,4.5,SUBSTANDARD,251999.99999999997,500000
282,60,M,parent,20,F,low,0,2248149.0,4,4.5,SUBSTANDARD,251999.99999999997,0
283,60,F,parent,23,F,high,0,1582754.0,5,2.5,STANDARD,180000.0,500000
284,31,F,other,22,M,low,0,3271979.0,3,3.0,SUBSTANDARD,275159.37,500000
285,61,M,other_relative,25,M,medium,1,2196004.0,4,1.5,STANDARD,180000.0,500000
286,64,F,grandparent,23,M,medium,0,1406068.0,4,3.5,SUBSTANDARD,251999.99999999997,500000
287,40,F,parent,22,M,low,0,1704116.0,4,2.5,STANDARD,180000.0,500000
288,53,M,parent,21,F,low,0,3005938.0,5,4.5,SUBSTANDARD,267178.13999999996,0
289,45,M,grandparent,20,M,low,1,1280627.0,3,2.5,STANDARD,180000.0,500000
290,68,M,other_relative,23,M,medium,1,1442252.0,3,2.5,STANDARD,180000.0,500000
291,46,F,other_relative,22,M,low,0,1209062.0,3,3.5,SUBSTANDARD,251999.99999999997,0
292,52,M,parent,21,F,high,0,3146769.0,4,0.5,PREFERRED,154403.07,500000
293,41,M,parent,22,M,low,0,1263272.0,4,2.5,STANDARD,180000.0,0
294,30,F,grandparent,22,F,medium,1,1213719.0,3,0.0,PREFERRED,135000.0,500000
295,34,F,parent,21,F,medium,1,1991182.0,4,0.0,PREFERRED,135000.0,500000
296,41,F,parent,24,F,medium,0,3315816.0,4,0.5,PREFERRED,159474.48,500000
297,53,M,other,19,M,medium,0,3232325.0,3,2.5,STANDARD,201969.75,500000
298,46,M,parent,21,F,medium,1,2111615.0,4,0.0,PREFERRED,135000.0,500000
299,60,M,other,19,M,medium,0,2203884.0,3,3.5,SUBSTANDARD,251999.99999999997,500000
